sku,api_url,brand,color,image,model,name,releaseDate,sku
0d5cd8f4-a9f8-4630-89d2-948ef5450906,https://stockx.com/api/products/0d5cd8f4-a9f8-4630-89d2-948ef5450906/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,adidas,Vintage White/Chalk White/Clear Brown,https://stockx.imgix.net/Adidas-Ultra-Boost-Sneakersnstuff-X-Social-Status-Lux-Vintage-White-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,adidas Ultra Boost Lux,adidas Ultra Boost Lux Sneakersnstuff x Social Status Vintage White,2017-12-20 23-59-59,0d5cd8f4-a9f8-4630-89d2-948ef5450906
0d5fb86c-d550-430f-b1fa-b658bf607e85,https://stockx.com/api/products/0d5fb86c-d550-430f-b1fa-b658bf607e85/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,adidas,Sun Glow/Core Black/Equipment Yellow,https://stockx.imgix.net/Adidas-Human-Race-NMD-Pharrell-Sun-Glow-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1560365848,adidas Human Race NMD,adidas Human Race NMD Pharrell Sun Glow,2017-11-11 23-59-59,0d5fb86c-d550-430f-b1fa-b658bf607e85
0de82ac1-bdf5-4918-a891-77f59a19e763,https://stockx.com/api/products/0de82ac1-bdf5-4918-a891-77f59a19e763/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Jordan,Red Crush/White,https:--,Jordan 4 Retro,Jordan 4 Retro Oklahoma Sooners PE,2018-12-18 23-59-59,0de82ac1-bdf5-4918-a891-77f59a19e763
0ed15c95-2536-4031-a2f7-7e7ee05e7e4d,https://stockx.com/api/products/0ed15c95-2536-4031-a2f7-7e7ee05e7e4d/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Nike,Black/White-Cone-Black,https://stockx.imgix.net/Nike-Air-Force-1-Low-Off-White-Black-White-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1546755764,Air Force 1 Low,Air Force 1 Low Off-White Black White,2018-12-19 23-59-59,0ed15c95-2536-4031-a2f7-7e7ee05e7e4d
0f1136fe-6535-48cd-bec5-6c99321835ec,https://stockx.com/api/products/0f1136fe-6535-48cd-bec5-6c99321835ec/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Jordan,Black/Game Royal-White,https://stockx.imgix.net/Air-Jordan-1-Retro-High-Flyknit-Royal.png?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,Jordan 1 Retro High Flyknit,Jordan 1 Retro High Flyknit Royal,2017-10-07 23-59-59,0f1136fe-6535-48cd-bec5-6c99321835ec
0f23ffb7-4a37-4f92-abfa-5dacbbe82a45,https://stockx.com/api/products/0f23ffb7-4a37-4f92-abfa-5dacbbe82a45/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Nike,Barely Grey/Hot Punch-Black-White,https://stockx.imgix.net/Nike-Zoom-Pegasus-Turbo-Wolf-Grey-Hot-Punch-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,Nike Zoom Pegasus 35 Turbo,Nike Zoom Pegasus 35 Turbo Wolf Grey Hot Punch,2018-07-19 23-59-59,0f23ffb7-4a37-4f92-abfa-5dacbbe82a45
0f4c80a1-50d7-4572-876c-7a740b264848,https://stockx.com/api/products/0f4c80a1-50d7-4572-876c-7a740b264848/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,adidas,Cream White/Cream White,https://stockx.imgix.net/Adidas-Yeezy-Boost-350-V2-Cream-White-I.png?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1551882676,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Cream White Infant (I),2017-04-29 23-59-59,0f4c80a1-50d7-4572-876c-7a740b264848
0f601255-1a84-4f2b-aa79-299316c16873,https://stockx.com/api/products/0f601255-1a84-4f2b-aa79-299316c16873/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Jordan,White/Black-Volt,https://stockx.imgix.net/Air-Jordan-11-Retro-Low-Golf-Concord-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1551743185,Jordan 11 Retro Low Golf,Jordan 11 Retro Low Golf Concord,2019-02-15 23-59-59,0f601255-1a84-4f2b-aa79-299316c16873
0fc888cf-1c81-4a23-8721-78cb5849b6b6,https://stockx.com/api/products/0fc888cf-1c81-4a23-8721-78cb5849b6b6/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Nike,White/Sport Royal-Black,https://stockx.imgix.net/Nike-Air-Max-1-Anniversary-Royal-2017-Restock-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,Air Max 1,Air Max 1 Anniversary Royal (2017 Restock Pair),2017-10-12 23-59-59,0fc888cf-1c81-4a23-8721-78cb5849b6b6
1035585c-6a73-4429-ae4b-0f72400b692a,https://stockx.com/api/products/1035585c-6a73-4429-ae4b-0f72400b692a/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,adidas,White/Pink/Yellow,https://stockx.imgix.net/adidas-NMD-Hu-Pharrell-Mother-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,adidas NMD Hu,adidas NMD Hu Pharrell Solar Pack Mother,2018-08-18 23-59-59,1035585c-6a73-4429-ae4b-0f72400b692a
