,volume,date
358,1207,2018-01-11
359,1298,2018-01-12
360,981,2018-01-13
361,907,2018-01-14
362,1076,2018-01-15
363,1061,2018-01-16
364,1229,2018-01-17
365,1146,2018-01-18
366,1245,2018-01-19
367,954,2018-01-20
368,755,2018-01-21
369,1019,2018-01-22
370,871,2018-01-23
371,849,2018-01-24
372,919,2018-01-25
373,936,2018-01-26
374,960,2018-01-27
375,669,2018-01-28
376,824,2018-01-29
377,843,2018-01-30
378,836,2018-01-31
379,887,2018-02-01
380,873,2018-02-02
381,852,2018-02-03
382,752,2018-02-04
383,803,2018-02-05
384,822,2018-02-06
385,821,2018-02-07
386,845,2018-02-08
387,852,2018-02-09
388,666,2018-02-10
389,586,2018-02-11
390,791,2018-02-12
391,746,2018-02-13
392,723,2018-02-14
393,858,2018-02-15
394,2086,2018-02-16
395,1239,2018-02-17
396,814,2018-02-18
397,965,2018-02-19
398,1075,2018-02-20
399,1236,2018-02-21
400,1286,2018-02-22
401,1130,2018-02-23
402,1111,2018-02-24
403,953,2018-02-25
404,1005,2018-02-26
405,962,2018-02-27
406,1004,2018-02-28
407,992,2018-03-01
408,1019,2018-03-02
409,873,2018-03-03
410,804,2018-03-04
411,893,2018-03-05
412,907,2018-03-06
413,964,2018-03-07
414,882,2018-03-08
415,967,2018-03-09
416,829,2018-03-10
417,740,2018-03-11
418,864,2018-03-12
419,854,2018-03-13
420,908,2018-03-14
421,810,2018-03-15
422,1105,2018-03-16
423,1447,2018-03-17
424,992,2018-03-18
425,1089,2018-03-19
426,1075,2018-03-20
427,1319,2018-03-21
428,1309,2018-03-22
429,1321,2018-03-23
430,1137,2018-03-24
431,884,2018-03-25
432,1579,2018-03-26
433,1269,2018-03-27
434,1178,2018-03-28
435,1180,2018-03-29
436,1539,2018-03-30
437,1455,2018-03-31
438,1088,2018-04-01
439,1259,2018-04-02
440,1244,2018-04-03
441,1315,2018-04-04
442,1276,2018-04-05
443,1364,2018-04-06
444,997,2018-04-07
445,905,2018-04-08
446,1129,2018-04-09
447,1065,2018-04-10
448,1041,2018-04-11
449,1055,2018-04-12
450,1076,2018-04-13
451,1096,2018-04-14
452,1011,2018-04-15
453,1058,2018-04-16
454,1125,2018-04-17
455,1097,2018-04-18
456,1114,2018-04-19
457,1267,2018-04-20
458,1089,2018-04-21
459,1113,2018-04-22
460,1308,2018-04-23
461,1260,2018-04-24
462,1186,2018-04-25
463,1139,2018-04-26
464,1224,2018-04-27
465,1278,2018-04-28
466,995,2018-04-29
467,1568,2018-04-30
468,2918,2018-05-01
469,2388,2018-05-02
470,1829,2018-05-03
471,1566,2018-05-04
472,1263,2018-05-05
473,1047,2018-05-06
474,1509,2018-05-07
475,1865,2018-05-08
476,2014,2018-05-09
477,1845,2018-05-10
478,1772,2018-05-11
479,1482,2018-05-12
480,1400,2018-05-13
481,2177,2018-05-14
482,1793,2018-05-15
483,1665,2018-05-16
484,1948,2018-05-17
485,1802,2018-05-18
486,1556,2018-05-19
487,1339,2018-05-20
488,1493,2018-05-21
489,1399,2018-05-22
490,1626,2018-05-23
491,2548,2018-05-24
492,2841,2018-05-25
493,3980,2018-05-26
494,2145,2018-05-27
495,1955,2018-05-28
496,2413,2018-05-29
497,5371,2018-05-30
498,3997,2018-05-31
499,1920,2018-06-01
500,1561,2018-06-02
501,1444,2018-06-03
502,1728,2018-06-04
503,1691,2018-06-05
504,1753,2018-06-06
505,1783,2018-06-07
506,1897,2018-06-08
507,2535,2018-06-09
508,1719,2018-06-10
509,1925,2018-06-11
510,2498,2018-06-12
511,2889,2018-06-13
512,2506,2018-06-14
513,2333,2018-06-15
514,1734,2018-06-16
515,1442,2018-06-17
516,2115,2018-06-18
517,2263,2018-06-19
518,2358,2018-06-20
519,2122,2018-06-21
520,2045,2018-06-22
521,1909,2018-06-23
522,1317,2018-06-24
523,1811,2018-06-25
524,1720,2018-06-26
525,1742,2018-06-27
526,1585,2018-06-28
527,1823,2018-06-29
528,1922,2018-06-30
529,1445,2018-07-01
530,1831,2018-07-02
531,1783,2018-07-03
532,1271,2018-07-04
533,2713,2018-07-05
534,3111,2018-07-06
535,3218,2018-07-07
536,2096,2018-07-08
537,2782,2018-07-09
538,3046,2018-07-10
539,2687,2018-07-11
540,2674,2018-07-12
541,2966,2018-07-13
542,2199,2018-07-14
543,1806,2018-07-15
544,2671,2018-07-16
545,2322,2018-07-17
546,2715,2018-07-18
547,2379,2018-07-19
548,2399,2018-07-20
549,2382,2018-07-21
550,1639,2018-07-22
551,2257,2018-07-23
552,2170,2018-07-24
553,2152,2018-07-25
554,2270,2018-07-26
555,2606,2018-07-27
556,2157,2018-07-28
557,1710,2018-07-29
558,2166,2018-07-30
559,2323,2018-07-31
560,2400,2018-08-01
561,2402,2018-08-02
562,2876,2018-08-03
563,2279,2018-08-04
564,1738,2018-08-05
565,2420,2018-08-06
566,2189,2018-08-07
567,2369,2018-08-08
568,2598,2018-08-09
569,3689,2018-08-10
570,3005,2018-08-11
571,2130,2018-08-12
572,2630,2018-08-13
573,3482,2018-08-14
574,3618,2018-08-15
575,3004,2018-08-16
576,3470,2018-08-17
577,2729,2018-08-18
578,1925,2018-08-19
579,2378,2018-08-20
580,2358,2018-08-21
581,2110,2018-08-22
582,2136,2018-08-23
583,2209,2018-08-24
584,1770,2018-08-25
585,1465,2018-08-26
586,1910,2018-08-27
587,2030,2018-08-28
588,1786,2018-08-29
589,1919,2018-08-30
590,2061,2018-08-31
591,1944,2018-09-01
592,1400,2018-09-02
593,1741,2018-09-03
594,1946,2018-09-04
595,2183,2018-09-05
596,2016,2018-09-06
597,2072,2018-09-07
598,1585,2018-09-08
599,1351,2018-09-09
600,1894,2018-09-10
601,1741,2018-09-11
602,1731,2018-09-12
603,1713,2018-09-13
604,1999,2018-09-14
605,2598,2018-09-15
606,1604,2018-09-16
607,2041,2018-09-17
608,2530,2018-09-18
609,2845,2018-09-19
610,5321,2018-09-20
611,5981,2018-09-21
612,12363,2018-09-22
613,4819,2018-09-23
614,4268,2018-09-24
615,3646,2018-09-25
616,3831,2018-09-26
617,4256,2018-09-27
618,3599,2018-09-28
619,3319,2018-09-29
620,2647,2018-09-30
621,3319,2018-10-01
622,3314,2018-10-02
623,3550,2018-10-03
624,3286,2018-10-04
625,3254,2018-10-05
626,2732,2018-10-06
627,2065,2018-10-07
628,3403,2018-10-08
629,3215,2018-10-09
630,3094,2018-10-10
631,3642,2018-10-11
632,3190,2018-10-12
633,2398,2018-10-13
634,2484,2018-10-14
635,2980,2018-10-15
636,2663,2018-10-16
637,2493,2018-10-17
638,2391,2018-10-18
639,2572,2018-10-19
640,1956,2018-10-20
641,1692,2018-10-21
642,2424,2018-10-22
643,2279,2018-10-23
644,2169,2018-10-24
645,2308,2018-10-25
646,2471,2018-10-26
647,2962,2018-10-27
648,1969,2018-10-28
649,2606,2018-10-29
650,2435,2018-10-30
651,7437,2018-10-31
652,5210,2018-11-01
653,3578,2018-11-02
654,2632,2018-11-03
655,2066,2018-11-04
656,2549,2018-11-05
657,2700,2018-11-06
658,2913,2018-11-07
659,3522,2018-11-08
660,3573,2018-11-09
661,3393,2018-11-10
662,2446,2018-11-11
663,2991,2018-11-12
664,3328,2018-11-13
665,3416,2018-11-14
666,4123,2018-11-15
667,7816,2018-11-16
668,8489,2018-11-17
669,4178,2018-11-18
670,4804,2018-11-19
671,4225,2018-11-20
672,4235,2018-11-21
673,3233,2018-11-22
674,9301,2018-11-23
675,6160,2018-11-24
676,3412,2018-11-25
677,7111,2018-11-26
678,5790,2018-11-27
679,4705,2018-11-28
680,4759,2018-11-29
681,5706,2018-11-30
682,5156,2018-12-01
683,3931,2018-12-02
684,4870,2018-12-03
685,5160,2018-12-04
686,4659,2018-12-05
687,4655,2018-12-06
688,5420,2018-12-07
689,8329,2018-12-08
690,5020,2018-12-09
691,5448,2018-12-10
692,5615,2018-12-11
693,5893,2018-12-12
694,6939,2018-12-13
695,11074,2018-12-14
696,7811,2018-12-15
697,5437,2018-12-16
698,6802,2018-12-17
699,6632,2018-12-18
700,7028,2018-12-19
701,6523,2018-12-20
702,6003,2018-12-21
703,4918,2018-12-22
704,4220,2018-12-23
705,3875,2018-12-24
706,4235,2018-12-25
707,6114,2018-12-26
708,9973,2018-12-27
709,7758,2018-12-28
710,6129,2018-12-29
711,4420,2018-12-30
712,4321,2018-12-31
713,3747,2019-01-01
714,4794,2019-01-02
715,5384,2019-01-03
716,5814,2019-01-04
717,4666,2019-01-05
718,3666,2019-01-06
719,4653,2019-01-07
720,4620,2019-01-08
721,4703,2019-01-09
722,4935,2019-01-10
723,4715,2019-01-11
724,4169,2019-01-12
725,3223,2019-01-13
726,3884,2019-01-14
727,4154,2019-01-15
728,3982,2019-01-16
729,4304,2019-01-17
730,4111,2019-01-18
731,4324,2019-01-19
732,3535,2019-01-20
733,3943,2019-01-21
734,4116,2019-01-22
735,3967,2019-01-23
736,6250,2019-01-24
737,4718,2019-01-25
738,4176,2019-01-26
739,3316,2019-01-27
740,4150,2019-01-28
741,4277,2019-01-29
742,3859,2019-01-30
743,4432,2019-01-31
744,4883,2019-02-01
745,3660,2019-02-02
746,3990,2019-02-03
747,4387,2019-02-04
748,4957,2019-02-05
749,7516,2019-02-06
750,8668,2019-02-07
751,5603,2019-02-08
752,4790,2019-02-09
753,3910,2019-02-10
754,5035,2019-02-11
755,5525,2019-02-12
756,5263,2019-02-13
757,5503,2019-02-14
758,8854,2019-02-15
759,8415,2019-02-16
760,6198,2019-02-17
761,6260,2019-02-18
762,5924,2019-02-19
763,5879,2019-02-20
764,6198,2019-02-21
765,6891,2019-02-22
766,6859,2019-02-23
767,4452,2019-02-24
768,5441,2019-02-25
769,5491,2019-02-26
770,6133,2019-02-27
